layer,alpha,n_total,n_valid,n_match,success_rate
31,0.9,63,62,57,0.9194
31,1.0,63,62,57,0.9194
31,1.5,63,63,60,0.9524
31,2.0,63,62,57,0.9194
31,2.5,63,63,62,0.9841
32,0.1,63,63,57,0.9048
32,0.2,63,62,56,0.9032
32,0.3,63,63,58,0.9206
32,0.4,63,63,58,0.9206
32,0.5,63,63,59,0.9365
32,0.6,63,63,60,0.9524
32,0.7,63,63,60,0.9524
32,0.8,63,62,58,0.9355
32,0.9,63,62,58,0.9355
32,1.0,63,63,57,0.9048
32,1.5,63,62,59,0.9516
32,2.0,63,63,60,0.9524
32,2.5,63,62,61,0.9839
33,0.1,63,63,58,0.9206
33,0.2,63,62,56,0.9032
33,0.3,63,62,57,0.9194
33,0.4,63,61,56,0.918
33,0.5,63,61,58,0.9508
33,0.6,63,63,61,0.9683
33,0.7,63,62,60,0.9677
33,0.8,63,63,61,0.9683
33,0.9,63,63,61,0.9683
33,1.0,63,62,59,0.9516
33,1.5,63,62,59,0.9516
33,2.0,63,62,58,0.9355
33,2.5,63,62,58,0.9355
34,0.1,63,63,59,0.9365
34,0.2,63,63,58,0.9206
34,0.3,63,63,58,0.9206
34,0.4,63,63,59,0.9365
34,0.5,63,63,60,0.9524
34,0.6,63,62,58,0.9355
34,0.7,63,62,58,0.9355
34,0.8,63,63,59,0.9365
34,0.9,63,61,57,0.9344
34,1.0,63,63,60,0.9524
34,1.5,63,62,60,0.9677
34,2.0,63,63,61,0.9683
34,2.5,63,63,61,0.9683
35,0.1,63,63,59,0.9365
35,0.2,63,63,59,0.9365
35,0.3,63,63,59,0.9365
35,0.4,63,63,59,0.9365
35,0.5,63,63,58,0.9206
35,0.6,63,61,57,0.9344
35,0.7,63,63,59,0.9365
35,0.8,63,61,57,0.9344
35,0.9,63,62,58,0.9355
35,1.0,63,62,57,0.9194
35,1.5,63,63,57,0.9048
35,2.0,63,62,57,0.9194
35,2.5,63,62,57,0.9194
